"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Concordia University-Irvine","1530 Concordia West, Irvine, California 92612-3203","www.cui.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","4249","1853","65%","NA","Fall 2011","$25,094","-","112075","02070500"
"Culinary Institute of America at Greystone","2555 Main St, St. Helena, California 94574","www.ciachef.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Postbaccalaureate certificate","Town: Fringe","Yes","","","NA","NA","Fall 2017","NA","-","19050301","00730401"
"Cypress College","9200 Valley View, Cypress, California 90630-5897","www.cypresscollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","15673","15673","36%","17%","Fall 2011","$6,636","-","113236","00119300"
"Dell'Arte International School of Physical Theatre","131 H Street, Blue Lake, California 95525-0816","www.dellarte.com/school","4-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate|Master's degree","Rural: Fringe","No","47","19","NA","NA","Fall 2011","NA","-","113537","03025600"
"Design Institute of San Diego","8555 Commerce Ave, San Diego, California 92121","www.disd.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","126","126","50%","NA","Fall 2011","NA","-","113582","02298000"
"DeVry University-California","901 Corporate Center Dr., Pomona, California 91768","https://www.devry.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","2980","2313","32%","28%","Fall 2011","$26,674","-","482431","01072706"
"Dominican School of Philosophy & Theology","2301 Vine Street, Berkeley, California 94708-1816","https://www.dspt.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","61","","NA","NA","Fall 2011","NA","-","113704","00129600"
"Dominican University of California","50 Acacia Ave, San Rafael, California 94901-2298","https://www.dominican.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","1744","1302","72%","NA","Fall 2011","$34,694","-","113698","00119600"
"Dongguk University-Los Angeles","440 Shatto Pl, Los Angeles, California 90020-1704","www.dula.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","162","37","NA","NA","Fall 2011","NA","-","122117","03109500"
"Emperor's College of Traditional Oriental Medicine","1807 Wilshire Blvd, Ste #200, Santa Monica, California 90403","www.emperors.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Small","No","189","","NA","NA","Fall 2011","NA","-","114114","02609000"
